Repository Fork?,Repository Forks Count,Repository Issues enabled?,Repository Wiki enabled?,Repository Pages enabled?,Repository Open Issues Count,Repository Readme filename,Repository Changelog filename,Repository Contributing guidelines filename,Repository License filename,Repository Code of Conduct filename,Repository Stars Count
0,0.293364057,1,1,1,0.092596785,1,1,1,1,0,90387
0,0.293364057,1,1,1,0.092596785,1,1,1,1,0,90387
0,0.293364057,1,1,1,0.092596785,1,1,1,1,0,90387
0,0.293364057,1,1,1,0.092596785,1,1,1,1,0,90387
0,0.293364057,1,1,1,0.092596785,1,1,1,1,0,90387
0,0.293364057,1,1,1,0.092596785,1,1,1,1,0,90387
0,0.293364057,1,1,1,0.092596785,1,1,1,1,0,90387
0,0.293364057,1,1,1,0.092596785,1,1,1,1,0,90387
0,0.293364057,1,1,1,0.092596785,1,1,1,1,0,90387
0,0.293364057,1,1,1,0.092596785,1,1,1,1,0,90387
0,0.293364057,1,1,1,0.092596785,1,1,1,1,0,90387
0,0.293364057,1,1,1,0.092596785,1,1,1,1,0,90387
0,0.293364057,1,1,1,0.092596785,1,1,1,1,0,90387
0,0.293364057,1,1,1,0.092596785,1,1,1,1,0,90387
0,0.293364057,1,1,1,0.092596785,1,1,1,1,0,90387
0,0.293364057,1,1,1,0.092596785,1,1,1,1,0,90387
0,0.293364057,1,1,1,0.092596785,1,1,1,1,0,90387
0,0.293364057,1,1,1,0.092596785,1,1,1,1,0,90387
